embedding,mode,concat,standardize,n_seeds,seeds,kmeans_ari_mean,kmeans_ari_std,kmeans_nmi_mean,kmeans_nmi_std,kmeans_f1_mean,kmeans_f1_std,ward_ari_mean,ward_ari_std,ward_nmi_mean,ward_nmi_std,ward_f1_mean,ward_f1_std
csdr1_raw4_catflags_filtered_embs_chronos_bolt_tiny_trn_val_tst_ctx200_bandgr,all,1,0,3,"[42, 100, 200]",0.12813333333333335,0.0007094598884597504,0.21553333333333335,0.0004509249752822818,0.30593333333333333,0.0007094598884597354,0.1862,0.0,0.2245,0.0,0.36999999999999994,6.798699777552591e-17
csdr1_raw4_catflags_filtered_embs_chronos_t5_tiny_trn_val_tst_ctx200_bandgr,all,1,0,3,"[42, 100, 200]",0.1382,0.025287941790505603,0.1947,0.03117691453623979,0.28186666666666665,0.02655811238272281,0.0826,0.0,0.2106,0.0,0.3285,0.0
csdr1_raw4_catflags_filtered_embs_hand_crafted_trn_val_tst_bandgr,all,1,1,3,"[42, 100, 200]",0.11393333333333333,0.007122031545376168,0.26189999999999997,0.005768882040742379,0.4028333333333333,0.02767694588160573,0.1319,0.0,0.2508,0.0,0.3323,0.0
csdr1_raw_embs_moiral_small_trn_val_tst_ctx200_pdt64_psz16_bandgr,all,1,0,3,"[42, 100, 200]",0.014400000000000001,2.1245936804851847e-18,0.0811,0.0,0.15653333333333333,5.773502691895622e-05,0.0112,0.0,0.0759,0.0,0.1506,0.0
hf_csdr1_multiband_raw4_embeddings_astromer_1_subclass_pad_correct,all,1,0,3,"[42, 100, 200]",-0.00030000000000000003,0.00017320508075688773,0.0014666666666666667,5.7735026918962605e-05,0.1447,0.0004358898943540671,-0.0009000000000000001,1.3278710503032405e-19,0.0018000000000000002,2.655742100606481e-19,0.1464,0.0
hf_csdr1_multiband_raw4_embeddings_astromer_2_gr_sampling_True,all,1,0,3,"[42, 100, 200]",-0.0014,0.0007810249675906654,0.005566666666666667,5.773502691896273e-05,0.15016666666666667,0.001429452109492768,-0.0021,0.0,0.0055000000000000005,1.0622968402425924e-18,0.1509,0.0
