,support,f1-score,recall,precision
RRab,0.0,0.0,0.0,0.0
RRd,0.0,0.0,0.0,0.0
EA,0.0,0.0,0.0,0.0
LPV,0.0,0.0,0.0,0.0
accuracy,0.0,0.0,0.0,0.0
RRc,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,1.3877787807814457e-17
weighted avg,0.0,0.0,0.0,0.0
EW,0.0,0.0,0.0,0.0
RS CVn,0.0,0.0,0.0,0.0
